file,cost,domain,explainations,heuristic,llm,maxNodes,maxPlanLength,nodeResultDirectory,nodesExpanded,nodesVisited,plan,planFound,promptVersion,saveNodeResults,search,useCache,utility
2026-03-09_17-10-00-650_deerhunter_any_llama-8b_.json,plan-length,deerhunter_any,"[""Bubba believes the rifle is at the house and wants to be alive, so picking up the rifle would provide a means of self-defense and move him closer to his goal."", ""Bubba believes the ammunition is at the house and wants to be alive, so picking up the ammunition would help him achieve his goal of being alive."", ""Bubba has the ammunition and the rifle, so loading the ammunition into the rifle would help Bubba prepare for a potential action."", ""Bambi believes that the clerk has 1 money, so going from the forest to the bank would help Bambi resolve uncertainty about the clerk's money."", ""Bubba believes that the clerk has 1 money and wants to have 0 money, so going from the house to the bank makes sense."", ""Bubba wants to have 0 money, and stealing money from the clerk at gunpoint would give Bubba money.""]",rp,llama-8b,5000,8,output/deerhunter_any/2026-03-09_17-10-00-650/llama-8b/,70,13,"[""pickup(Bubba, Rifle, House)"", ""pickup(Bubba, Ammo, House)"", ""load(Bubba, Rifle, Ammo)"", ""go(Bambi, Forest, Bank)"", ""go(Bubba, House, Bank)"", ""steal(Bubba, Clerk, Rifle, Bank)""]",True,v1.7,True,best-first,True,1
2026-03-09_17-13-40-915_secretagent_chatgpt-5-mini_.json,plan-length,secretagent,"[""The secret agent does not know where the gun is, so searching the headquarters could resolve that uncertainty and potentially give them the weapon needed to kill the mastermind."", ""The secret agent believes the gun is at the headquarters and picking it up would give them the means to kill the mastermind, so acquiring it advances their goal."", ""The secret agent believes the papers are at the dropbox, so moving there lets them pick them up and then continue along the connected path network to search for and try to reach the mastermind."", ""The secret agent is at the dropbox and there is a path to the courtyard, so moving there is possible and could help them search for or approach the mastermind to achieve their goal of killing them.""]",rp,chatgpt-5-mini,5000,10,output/secretagent/2026-03-09_17-13-40-915/chatgpt-5-mini/,5,5,"[""find(SecretAgent, Gun, Headquarters)"", ""pickup(SecretAgent, Gun, Headquarters)"", ""move(SecretAgent, Headquarters, Dropbox)"", ""move(SecretAgent, Dropbox, Courtyard)""]",False,v1.7,True,best-first,True,1
2026-03-09_18-09-11-909_fantasy_any_chatgpt-5-mini_.json,plan-length,fantasy_any,"[""Talia believes the treasure is at the cave and she wants to be wealthy, so traveling to the cave lets her try to obtain the treasure."", ""Talia believes the treasure is at the cave, so picking it up would directly increase her wealth and help achieve her goal of being wealthy.""]",rp,chatgpt-5-mini,5000,4,output/fantasy_any/2026-03-09_18-09-11-909/chatgpt-5-mini/,11,2,"[""travel(Talia, Village, Cave)"", ""pickup(Talia, Treasure, Cave)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-11-945_bribery_chatgpt-5-mini_.json,plan-length,bribery,"[""The villain wants to control the President and, by stealing the Money, can obtain funds that could later be used to bribe the President (having Money enables bribery) to gain control."", ""The villain currently has the Money and, by bribing the President with it, can gain control of the President, which directly advances the villain's goal of controlling the President.""]",rp,chatgpt-5-mini,5000,4,output/bribery/2026-03-09_18-09-11-945/chatgpt-5-mini/,6,2,"[""steal(Villain, Money, Bank)"", ""bribe(Villain, President, Money)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-11-946_bribery_llama-8b_.json,plan-length,bribery,"[""The villain steals Money from the bank because the villain wants to have Money and it is physically possible to take it."", ""The villain bribes the President with Money because the villain wants the President to not have control over the villain.""]",rp,llama-8b,5000,4,output/bribery/2026-03-09_18-09-11-946/llama-8b/,8,2,"[""steal(Villain, Money, Bank)"", ""bribe(Villain, President, Money)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-11-957_basketball_any_chatgpt-5-mini_.json,plan-length,basketball_any,"[""Alice believes Bob is at Bob's house and visiting him could cheer her up, so traveling there could help her become happy."", ""Charlie believes Alice is at Bob's house and wants Alice dead, so traveling from downtown to Bob's house moves him toward confronting her."", ""Alice is currently angry and the domain states characters can let off steam by playing basketball, so Alice traveling to the basketball court is a reasonable move toward becoming happy."", ""Bob believes Alice is at the basketball court and, wanting everyone to be happy, traveling there (and bringing the basketball he believes he has) could help cheer her."", ""Alice and Bob are both at the basketball court and both believe Bob has the basketball, and playing basketball is a known way for Alice to feel better and for Bob to make others happy.""]",rp,chatgpt-5-mini,5000,5,output/basketball_any/2026-03-09_18-09-11-957/chatgpt-5-mini/,183,34,"[""travel(Alice, Downtown, HomeB)"", ""travel(Charlie, Downtown, HomeB)"", ""travel(Alice, HomeB, BasketballCourt)"", ""travel(Bob, HomeB, BasketballCourt)"", ""play_basketball(Bob, Alice, BasketballCourt)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-12-016_space_any_chatgpt-5-mini_.json,plan-length,space_any,"[""The lizard believes the surface is safe and wants to be healthy, safe, and make friends, so walking from the cave to the surface reasonably places it where others are and helps it pursue safety and friendship."", ""Zoe believes the surface is safe and wants to make friends while staying healthy and safe, so teleporting from the ship to the surface could let her meet others without endangering herself."", ""Zoe believes the lizard is at the surface and they are together and not fighting, so making peace would directly advance Zoe's goal of making friends and increasing safety.""]",rp,chatgpt-5-mini,5000,4,output/space_any/2026-03-09_18-09-12-016/chatgpt-5-mini/,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-12-903_space_any_llama-8b_.json,plan-length,space_any,"[""The Lizard believes that the surface erupting will pose a danger to both Zoe and the Lizard, and taking action to prevent or respond to the eruption will help them achieve their goal of being healthy and safe."", ""The eruption of the surface poses a danger to Zoe and the Lizard, and the Lizard believes the surface is safe, so this action resolves uncertainty and responds to perceived danger.""]",rp,llama-8b,5000,4,output/space_any/2026-03-09_18-09-12-903/llama-8b/,7,3,"[""begin_erupt(Surface)"", ""erupt(Surface)""]",True,v1.7,True,best-first,True,1
2026-03-09_18-09-12-990_space_two_chatgpt-5-mini_.json,plan-length,space_two,"[""The lizard believes the surface is safe and wants to be healthy, safe, and make friends, so walking from the cave to the surface could let it encounter others or ensure the area's safety."", ""Zoe believes the surface is safe and that the Lizard is at the cave, so teleporting to the surface is a safe way for her to try to meet others and pursue friendship."", ""Zoe wants to make friends and is co-located with the lizard and not fighting, so she can plausibly make peace to advance her goal of friendship and safety.""]",rp,chatgpt-5-mini,5000,5,output/space_two/2026-03-09_18-09-12-990/chatgpt-5-mini/,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.7,True,best-first,True,2
2026-03-09_18-09-13-811_fantasy_any_llama-8b_.json,plan-length,fantasy_any,"[""Talia travels from the village to the cave because Talia believes the treasure is at the cave and it's a way to achieve wealth."", ""Talia picks up the treasure because Talia believes the treasure is at the cave and it would make them happy and wealthy.""]",rp,llama-8b,5000,4,output/fantasy_any/2026-03-09_18-09-13-811/llama-8b/,21,3,"[""travel(Talia, Village, Cave)"", ""pickup(Talia, Treasure, Cave)""]",True,v1.7,True,best-first,True,1
